,Player,Team,Height,Season
6958,Derrick Williams,NYK,6-8,2016
6959,Devin Booker,PHX,6-6,2016
6960,Devin Harris,DAL,6-3,2016
6961,Devyn Marble,ORL,6-6,2016
6962,Dewayne Dedmon,ORL,7-0,2016
6963,Dion Waiters,OKC,6-4,2016
6964,Dirk Nowitzki,DAL,7-0,2016
6965,Donald Sloan,BKN,6-3,2016
6966,Donatas Motiejunas,HOU,7-0,2016
6967,Doug McDermott,CHI,6-8,2016
6968,Draymond Green,GSW,6-7,2016
6969,Drew Gooden,WAS,6-10,2016
6970,Duje Dukan,SAC,6-9,2016
6971,Dwight Howard,HOU,6-11,2016
6972,Dwight Powell,DAL,6-11,2016
6973,Dwyane Wade,MIA,6-4,2016
6974,E'Twaun Moore,CHI,6-4,2016
6975,Ed Davis,POR,6-10,2016
6976,Edy Tavares,ATL,7-3,2016
6977,Elfrid Payton,ORL,6-4,2016
6978,Elijah Millsap,UTA,6-6,2016
6979,Elliot Williams,CHA,6-5,2016
6980,Elton Brand,PHI,6-9,2016
6981,Emmanuel Mudiay,DEN,6-5,2016
6982,Enes Freedom,OKC,6-11,2016
6983,Eric Bledsoe,PHX,6-1,2016
6984,Eric Gordon,NOP,6-4,2016
6985,Eric Moreland,SAC,6-10,2016
6986,Erick Green,DEN,6-4,2016
6987,Ersan Ilyasova,ORL,6-10,2016
6988,Evan Fournier,ORL,6-7,2016
6989,Evan Turner,BOS,6-7,2016
6990,Festus Ezeli,GSW,6-11,2016
6991,Frank Kaminsky,CHA,7-0,2016
6992,Garrett Temple,WAS,6-6,2016
6993,Gary Harris,DEN,6-4,2016
6994,Gary Neal,WAS,6-4,2016
6995,George Hill,IND,6-3,2016
6996,Gerald Green,MIA,6-7,2016
6997,Gerald Henderson,POR,6-5,2016
6998,Giannis Antetokounmpo,MIL,6-11,2016
6999,Glenn Robinson III,IND,6-7,2016
7000,Goran Dragic,MIA,6-3,2016
7001,Gordon Hayward,UTA,6-8,2016
7002,Gorgui Dieng,MIN,6-11,2016
7003,Greg Monroe,MIL,6-11,2016
7004,Greg Smith,MIN,6-10,2016
7005,Greivis Vasquez,MIL,6-6,2016
7006,Harrison Barnes,GSW,6-8,2016
7007,Hassan Whiteside,MIA,7-0,2016
7008,Henry Sims,BKN,6-10,2016
7009,Hollis Thompson,PHI,6-8,2016
7010,Ian Clark,GSW,6-3,2016
7011,Ian Mahinmi,IND,6-11,2016
7012,Iman Shumpert,CLE,6-5,2016
7013,Isaiah Canaan,PHI,6-0,2016
7014,Isaiah Thomas,BOS,5-9,2016
7015,Ish Smith,PHI,6-0,2016
7016,J.J. Barea,DAL,6-0,2016
7017,JJ Hickson,WAS,6-9,2016
7018,JJ O'Brien,UTA,6-7,2016
7019,JJ Redick,LAC,6-4,2016
7020,JR Smith,CLE,6-6,2016
7021,JaKarr Sampson,DEN,6-9,2016
7022,JaMychal Green,MEM,6-9,2016
7023,JaVale McGee,DAL,7-0,2016
7024,Jabari Parker,MIL,6-8,2016
7025,Jae Crowder,BOS,6-6,2016
7026,Jahlil Okafor,PHI,6-11,2016
7027,Jamal Crawford,LAC,6-5,2016
7028,Jameer Nelson,DEN,6-0,2016
7029,James Anderson,SAC,6-6,2016
7030,James Ennis III,NOP,6-7,2016
7031,James Harden,HOU,6-5,2016
7032,James Johnson,TOR,6-9,2016
7033,James Jones,CLE,6-8,2016
7034,James Michael McAdoo,GSW,6-9,2016
7035,James Young,BOS,6-6,2016
7036,Jared Cunningham,CLE,6-4,2016
7037,Jared Dudley,WAS,6-7,2016
7038,Jared Sullinger,BOS,6-9,2016
7039,Jarell Eddie,WAS,6-7,2016
7040,Jarell Martin,MEM,6-10,2016
7041,Jarnell Stokes,MEM,6-9,2016
7042,Jarrett Jack,BKN,6-3,2016
7043,Jason Smith,ORL,7-0,2016
7044,Jason Terry,HOU,6-2,2016
7045,Jason Thompson,TOR,6-11,2016
7046,Jeff Ayres,LAC,6-9,2016
7047,Jeff Green,LAC,6-9,2016
7048,Jeff Teague,ATL,6-2,2016
7049,Jeff Withey,UTA,7-0,2016
7050,Jerami Grant,PHI,6-8,2016
7051,Jeremy Evans,DAL,6-9,2016
7052,Jeremy Lamb,CHA,6-5,2016
7053,Jeremy Lin,CHA,6-3,2016
7054,Jerian Grant,NYK,6-4,2016
7055,Jerryd Bayless,MIL,6-3,2016
7056,Jimmer Fredette,SAS,6-2,2016
7057,Jimmy Butler,CHI,6-7,2016
7058,Joakim Noah,CHI,6-11,2016
7059,Jodie Meeks,DET,6-4,2016
7060,Joe Harris,CLE,6-6,2016
7061,Joe Ingles,UTA,6-8,2016
7062,Joe Johnson,MIA,6-7,2016
7063,Joe Young,IND,6-2,2016
7064,Joel Anthony,DET,6-9,2016
7065,Joffrey Lauvergne,DEN,6-11,2016
7066,John Henson,MIL,6-11,2016
7067,John Jenkins,PHX,6-4,2016
7068,John Wall,WAS,6-4,2016
7069,Johnny O'Bryant III,MIL,6-9,2016
7070,Jon Leuer,PHX,6-10,2016
7071,Jonas Jerebko,BOS,6-10,2016
7072,Jonas Valančiūnas,TOR,7-0,2016
7073,Jonathon Simmons,SAS,6-6,2016
7074,Jordan Adams,MEM,6-5,2016
7075,Jordan Clarkson,LAL,6-5,2016
7076,Jordan Farmar,MEM,6-2,2016
7077,Jordan Hamilton,NOP,6-7,2016
7078,Jordan Hill,IND,6-10,2016
7079,Jordan McRae,CLE,6-5,2016
7080,Jordan Mickey,BOS,6-8,2016
7081,Jorge Gutierrez,CHA,6-3,2016
7082,Jose Calderon,NYK,6-3,2016
7083,Josh Huestis,OKC,6-7,2016
7084,Josh McRoberts,MIA,6-10,2016
7085,Josh Richardson,MIA,6-6,2016
7086,Josh Smith,HOU,6-9,2016
7087,Jrue Holiday,NOP,6-4,2016
7088,Julius Randle,LAL,6-9,2016
7089,Justin Anderson,DAL,6-6,2016
7090,Justin Harper,BKN,6-10,2016
7091,Justin Holiday,CHI,6-6,2016
7092,Justise Winslow,MIA,6-7,2016
7093,Jusuf Nurkić,DEN,7-0,2016
7094,KJ McDaniels,HOU,6-6,2016
7095,Karl-Anthony Towns,MIN,7-0,2016
7096,Kawhi Leonard,SAS,6-7,2016
7097,Keith Appling,ORL,6-1,2016
7098,Kelly Olynyk,BOS,7-0,2016
7099,Kelly Oubre Jr.,WAS,6-7,2016
7100,Kemba Walker,CHA,6-1,2016
7101,Kendall Marshall,PHI,6-4,2016
7102,Kendrick Perkins,NOP,6-10,2016
7103,Kenneth Faried,DEN,6-8,2016
7104,Kent Bazemore,ATL,6-5,2016
7105,Kentavious Caldwell-Pope,DET,6-5,2016
7106,Kevin Durant,OKC,6-9,2016
7107,Kevin Garnett,MIN,6-11,2016
7108,Kevin Love,CLE,6-10,2016
7109,Kevin Martin,SAS,6-7,2016
7110,Kevin Seraphin,NYK,6-10,2016
7111,Kevon Looney,GSW,6-9,2016
7112,Khris Middleton,MIL,6-8,2016
7113,Kirk Hinrich,ATL,6-4,2016
7114,Klay Thompson,GSW,6-7,2016
7115,Kobe Bryant,LAL,6-6,2016
7116,Kosta Koufos,SAC,7-0,2016
7117,Kostas Papanikolaou,DEN,6-8,2016
7118,Kris Humphries,ATL,6-9,2016
7119,Kristaps Porziņģis,NYK,7-3,2016
7120,Kyle Anderson,SAS,6-9,2016
7121,Kyle Korver,ATL,6-7,2016
7122,Kyle Lowry,TOR,6-0,2016
7123,Kyle O'Quinn,NYK,6-10,2016
7124,Kyle Singler,OKC,6-8,2016
7125,Kyrie Irving,CLE,6-3,2016
7126,LaMarcus Aldridge,SAS,6-11,2016
7127,Lamar Patterson,ATL,6-5,2016
7128,Lance Stephenson,MEM,6-5,2016
7129,Lance Thomas,NYK,6-8,2016
7130,Langston Galloway,NYK,6-2,2016
7131,Larry Nance Jr.,LAL,6-9,2016
7132,Lavoy Allen,IND,6-9,2016
7133,LeBron James,CLE,6-8,2016
7134,Leandro Barbosa,GSW,6-3,2016
7135,Lorenzo Brown,DET,6-5,2016
7136,Lou Amundson,NYK,6-9,2016
7137,Lou Williams,LAL,6-1,2016
7138,Luc Mbah a Moute,LAC,6-8,2016
7139,Lucas Nogueira,TOR,7-0,2016
7140,Luis Montero,POR,6-7,2016
7141,Luis Scola,TOR,6-9,2016
7142,Luke Babbitt,NOP,6-9,2016
7143,Luol Deng,MIA,6-9,2016
7144,Manu Ginobili,SAS,6-6,2016
7145,Marc Gasol,MEM,7-1,2016
7146,Marcelo Huertas,LAL,6-3,2016
7147,Marcin Gortat,WAS,6-11,2016
7148,Marco Belinelli,SAC,6-5,2016
7149,Marcus Morris Sr.,DET,6-9,2016
7150,Marcus Smart,BOS,6-4,2016
7151,Marcus Thornton,WAS,6-4,2016
7152,Mario Chalmers,MIA,6-2,2016
7153,Mario Hezonja,ORL,6-8,2016
7154,Markel Brown,BKN,6-3,2016
7155,Markieff Morris,WAS,6-10,2016
7156,Marreese Speights,GSW,6-10,2016
7157,Marvin Williams,CHA,6-9,2016
7158,Mason Plumlee,POR,6-11,2016
7159,Matt Barnes,MEM,6-7,2016
7160,Matt Bonner,SAS,6-10,2016
7161,Matthew Dellavedova,CLE,6-4,2016
7162,Maurice Harkless,POR,6-9,2016
7163,Metta World Peace,LAL,6-7,2016
7164,Meyers Leonard,POR,7-1,2016
7165,Michael Beasley,HOU,6-10,2016
7166,Michael Carter-Williams,MIL,6-6,2016
7167,Michael Kidd-Gilchrist,CHA,6-7,2016
7168,Mike Conley,MEM,6-1,2016
7169,Mike Dunleavy,CHI,6-9,2016
7170,Mike Miller,DEN,6-8,2016
7171,Mike Muscala,ATL,6-11,2016
7172,Mike Scott,ATL,6-8,2016
7173,Miles Plumlee,MIL,6-11,2016
7174,Mirza Teletovic,PHX,6-9,2016
7175,Mitch McGary,OKC,6-10,2016
7176,Mo Williams,CLE,6-1,2016
7177,Monta Ellis,IND,6-3,2016
7178,Montrezl Harrell,HOU,6-8,2016
7179,Myles Turner,IND,6-11,2016
7180,Nate Robinson,NOP,5-9,2016
7181,Nazr Mohammed,OKC,6-10,2016
7182,Nemanja Bjelica,MIN,6-10,2016
7183,Nene,WAS,6-11,2016
7184,Nerlens Noel,PHI,6-11,2016
7185,Nick Collison,OKC,6-10,2016
7186,Nick Young,LAL,6-7,2016
7187,Nicolas Batum,CHA,6-8,2016
7188,Nik Stauskas,PHI,6-6,2016
7189,Nikola Jokić,DEN,6-10,2016
7190,Nikola Mirotic,CHI,6-10,2016
7191,Nikola Pekovic,MIN,6-11,2016
7192,Nikola Vučević,ORL,7-0,2016
7193,Noah Vonleh,POR,6-9,2016
7194,Norman Powell,TOR,6-4,2016
7195,Norris Cole,NOP,6-2,2016
7196,O.J. Mayo,MIL,6-5,2016
7197,Omer Asik,NOP,7-0,2016
7198,Omri Casspi,SAC,6-9,2016
7199,Orlando Johnson,NOP,6-5,2016
7200,Otto Porter Jr.,WAS,6-8,2016
7201,P.J. Tucker,PHX,6-6,2016
7202,PJ Hairston,MEM,6-6,2016
7203,Pablo Prigioni,LAC,6-3,2016
7204,Pat Connaughton,POR,6-5,2016
7205,Patrick Beverley,HOU,6-1,2016
7206,Patrick Patterson,TOR,6-9,2016
7207,Patty Mills,SAS,6-0,2016
7208,Pau Gasol,CHI,7-0,2016
7209,Paul George,IND,6-9,2016
7210,Paul Millsap,ATL,6-8,2016
7211,Paul Pierce,LAC,6-7,2016
7212,Phil Pressey,POR,5-11,2016
7213,Quincy Acy,SAC,6-7,2016
7214,RJ Hunter,BOS,6-5,2016
7215,Rajon Rondo,SAC,6-1,2016
7216,Rakeem Christmas,IND,6-9,2016
7217,Ramon Sessions,WAS,6-3,2016
7218,Randy Foye,OKC,6-4,2016
7219,Rashad Vaughn,MIL,6-6,2016
7220,Rasual Butler,SAS,6-7,2016
7221,Raul Neto,UTA,6-1,2016
7222,Ray McCallum,SAS,6-3,2016
7223,Raymond Felton,DAL,6-1,2016
7224,Reggie Bullock Jr.,DET,6-7,2016
7225,Reggie Jackson,DET,6-3,2016
7226,Richard Jefferson,CLE,6-7,2016
7227,Richaun Holmes,PHI,6-10,2016
7228,Ricky Rubio,MIN,6-4,2016
7229,Robert Covington,PHI,6-9,2016
7230,Robert Sacre,LAL,7-0,2016
7231,Robin Lopez,NYK,7-0,2016
7232,Rodney Hood,UTA,6-8,2016
7233,Rodney Stuckey,IND,6-5,2016
7234,Rondae Hollis-Jefferson,BKN,6-7,2016
7235,Ronnie Price,PHX,6-2,2016
7236,Roy Hibbert,LAL,7-2,2016
7237,Rudy Gay,SAC,6-8,2016
7238,Rudy Gobert,UTA,7-1,2016
7239,Russ Smith,MEM,6-0,2016
7240,Russell Westbrook,OKC,6-3,2016
7241,Ryan Anderson,NOP,6-10,2016
7242,Ryan Hollins,MEM,7-0,2016
7243,Ryan Kelly,LAL,6-11,2016
7244,Salah Mejri,DAL,7-2,2016
7245,Sam Dekker,HOU,6-9,2016
7246,Sasha Kaun,CLE,6-11,2016
7247,Sasha Vujacic,NYK,6-7,2016
7248,Sean Kilpatrick,BKN,6-4,2016
7249,Serge Ibaka,OKC,6-10,2016
7250,Sergey Karasev,BKN,6-7,2016
7251,Seth Curry,SAC,6-2,2016
7252,Shabazz Muhammad,MIN,6-6,2016
7253,Shabazz Napier,ORL,6-1,2016
7254,Shane Larkin,BKN,5-11,2016
7255,Shaun Livingston,GSW,6-7,2016
7256,Shayne Whittington,IND,6-11,2016
7257,Shelvin Mack,UTA,6-3,2016
7258,Solomon Hill,IND,6-7,2016
7259,Sonny Weems,PHX,6-6,2016
7260,Spencer Dinwiddie,CHI,6-6,2016
7261,Spencer Hawes,CHA,7-1,2016
7262,Stanley Johnson,DET,6-7,2016
7263,Stephen Curry,GSW,6-3,2016
7264,Steve Blake,DET,6-3,2016
7265,Steve Novak,MIL,6-10,2016
7266,Steven Adams,OKC,7-0,2016
7267,T.J. McConnell,PHI,6-2,2016
7268,T.J. Warren,PHX,6-8,2016
7269,Taj Gibson,CHI,6-9,2016
7270,Tarik Black,LAL,6-9,2016
7271,Tayshaun Prince,MIN,6-9,2016
7272,Terrence Jones,HOU,6-9,2016
7273,Terrence Ross,TOR,6-7,2016
7274,Terry Rozier,BOS,6-2,2016
7275,Thabo Sefolosha,ATL,6-7,2016
7276,Thaddeus Young,BKN,6-8,2016
7277,Thanasis Antetokounmpo,NYK,6-7,2016
7278,Thomas Robinson,BKN,6-10,2016
7279,Tiago Splitter,ATL,6-11,2016
7280,Tibor Pleiss,UTA,7-3,2016
7281,Tim Duncan,SAS,6-11,2016
7282,Tim Frazier,NOP,6-1,2016
7283,Tim Hardaway Jr.,ATL,6-6,2016
7284,Timofey Mozgov,CLE,7-1,2016
7285,Tobias Harris,DET,6-9,2016
7286,Toney Douglas,NOP,6-2,2016
7287,Tony Allen,MEM,6-4,2016
7288,Tony Parker,SAS,6-2,2016
7289,Tony Snell,CHI,6-7,2016
7290,Tony Wroten,NYK,6-6,2016
7291,Trevor Ariza,HOU,6-8,2016
7292,Trevor Booker,UTA,6-8,2016
7293,Trey Burke,UTA,6-1,2016
7294,Trey Lyles,UTA,6-10,2016
7295,Tristan Thompson,CLE,6-9,2016
7296,Troy Daniels,CHA,6-4,2016
7297,Ty Lawson,IND,5-11,2016
7298,Tyler Ennis,MIL,6-3,2016
7299,Tyler Hansbrough,CHA,6-9,2016
7300,Tyler Johnson,MIA,6-4,2016
7301,Tyler Zeller,BOS,7-0,2016
7302,Tyreke Evans,NOP,6-6,2016
7303,Tyson Chandler,PHX,7-1,2016
7304,Tyus Jones,MIN,6-2,2016
7305,Udonis Haslem,MIA,6-8,2016
7306,Victor Oladipo,ORL,6-4,2016
7307,Vince Carter,MEM,6-6,2016
7308,Wayne Ellington,BKN,6-4,2016
7309,Wesley Johnson,LAC,6-7,2016
7310,Wesley Matthews,DAL,6-5,2016
7311,Will Barton,DEN,6-6,2016
7312,Willie Cauley-Stein,SAC,7-0,2016
7313,Willie Reed,BKN,6-10,2016
7314,Xavier Munford,MEM,6-3,2016
7315,Zach LaVine,MIN,6-5,2016
7316,Zach Randolph,MEM,6-9,2016
7317,Zaza Pachulia,DAL,6-11,2016
7318,AJ Hammons,DAL,7-0,2017
7319,Aaron Brooks,IND,6-0,2017
7320,Aaron Gordon,ORL,6-9,2017
7321,Aaron Harrison,CHA,6-6,2017
7322,Adreian Payne,MIN,6-10,2017
7323,Al Horford,BOS,6-10,2017
7324,Al Jefferson,IND,6-10,2017
7325,Al-Farouq Aminu,POR,6-9,2017
7326,Alan Anderson,LAC,6-6,2017
7327,Alan Williams,PHX,6-8,2017
7328,Alec Burks,UTA,6-6,2017
7329,Alex Abrines,OKC,6-6,2017
7330,Alex Len,PHX,7-1,2017
7331,Alex Poythress,PHI,6-7,2017
7332,Alexis Ajinca,NOP,7-2,2017
7333,Allen Crabbe,POR,6-6,2017
7334,Alonzo Gee,DEN,6-6,2017
7335,Amir Johnson,BOS,6-9,2017
7336,Anderson Varejao,GSW,6-11,2017
7337,Andre Drummond,DET,6-11,2017
7338,Andre Iguodala,GSW,6-6,2017
7339,Andre Roberson,OKC,6-7,2017
7340,Andrew Bogut,CLE,7-0,2017
7341,Andrew Harrison,MEM,6-6,2017
7342,Andrew Nicholson,BKN,6-9,2017
7343,Andrew Wiggins,MIN,6-8,2017
7344,Anthony Bennett,BKN,6-8,2017
7345,Anthony Brown,ORL,6-7,2017
7346,Anthony Davis,NOP,6-11,2017
7347,Anthony Morrow,CHI,6-5,2017
7348,Anthony Tolliver,SAC,6-8,2017
7349,Archie Goodwin,BKN,6-5,2017
7350,Arinze Onuaku,ORL,6-9,2017
7351,Aron Baynes,DET,6-10,2017
7352,Arron Afflalo,SAC,6-5,2017
7353,Austin Rivers,LAC,6-4,2017
7354,Avery Bradley,BOS,6-2,2017
7355,Axel Toupane,NOP,6-7,2017
7356,Ben Bentil,DAL,6-9,2017
7357,Ben McLemore,SAC,6-5,2017
7358,Beno Udrih,DET,6-3,2017
7359,Bismack Biyombo,ORL,6-9,2017
7360,Blake Griffin,LAC,6-10,2017
7361,Boban Marjanović,DET,7-3,2017
7362,Bobby Brown,HOU,6-2,2017
7363,Bobby Portis,CHI,6-11,2017
7364,Bojan Bogdanović,WAS,6-8,2017
7365,Boris Diaw,UTA,6-8,2017
7366,Bradley Beal,WAS,6-5,2017
7367,Brandan Wright,MEM,6-10,2017
7368,Brandon Bass,LAC,6-8,2017
7369,Brandon Ingram,LAL,6-9,2017
7370,Brandon Jennings,WAS,6-1,2017
7371,Brandon Knight,PHX,6-3,2017
7372,Brandon Rush,MIN,6-6,2017
7373,Brian Roberts,CHA,6-1,2017
7374,Briante Weber,CHA,6-2,2017
7375,Brice Johnson,LAC,6-10,2017
7376,Brook Lopez,BKN,7-0,2017
7377,Bruno Caboclo,TOR,6-9,2017
7378,Bryn Forbes,SAS,6-3,2017
7379,Buddy Hield,SAC,6-4,2017
7380,C.J. Watson,ORL,6-2,2017
7381,C.J. Wilcox,ORL,6-5,2017
7382,CJ McCollum,POR,6-3,2017
7383,CJ Miles,IND,6-6,2017
7384,Cameron Payne,CHI,6-3,2017
7385,Caris LeVert,BKN,6-7,2017
7386,Carmelo Anthony,NYK,6-8,2017
7387,Chandler Parsons,MEM,6-10,2017
7388,Channing Frye,CLE,6-11,2017
7389,Chasson Randle,NYK,6-2,2017
7390,Cheick Diallo,NOP,6-9,2017
7391,Chinanu Onuaku,HOU,6-10,2017
7392,Chris Andersen,CLE,6-10,2017
7393,Chris McCullough,WAS,6-9,2017
7394,Chris Paul,LAC,6-0,2017
7395,Christian Wood,CHA,6-11,2017
7396,Clint Capela,HOU,6-10,2017
7397,Cody Zeller,CHA,7-0,2017
7398,Cole Aldrich,MIN,6-11,2017
7399,Corey Brewer,LAL,6-9,2017
7400,Cory Joseph,TOR,6-3,2017
7401,Courtney Lee,NYK,6-5,2017
7402,Cristiano Felicio,CHI,6-9,2017
7403,D'Angelo Russell,LAL,6-5,2017
7404,D.J. Augustin,ORL,6-0,2017
7405,Dahntay Jones,CLE,6-6,2017
7406,Damian Jones,GSW,7-0,2017
7407,Damian Lillard,POR,6-3,2017
7408,Damjan Rudez,ORL,6-10,2017
7409,Daniel Ochefu,WAS,6-11,2017
7410,Danilo Gallinari,DEN,6-10,2017
7411,Danny Green,SAS,6-6,2017
7412,Dante Cunningham,NOP,6-8,2017
7413,Danté Exum,UTA,6-6,2017
7414,Danuel House Jr.,WAS,6-7,2017
7415,Dario Šarić,PHI,6-10,2017
7416,Darrell Arthur,DEN,6-9,2017
7417,Darren Collison,SAC,6-0,2017
7418,Darrun Hilliard,DET,6-6,2017
7419,David Lee,SAS,6-9,2017
7420,David Nwaba,LAL,6-4,2017
7421,David West,GSW,6-9,2017
7422,Davis Bertans,SAS,6-10,2017
7423,DeAndre Jordan,LAC,6-11,2017
7424,DeAndre Liggins,DAL,6-6,2017
7425,DeAndre' Bembry,ATL,6-6,2017
7426,DeMar DeRozan,TOR,6-7,2017
7427,DeMarcus Cousins,NOP,6-11,2017
7428,DeMarre Carroll,TOR,6-8,2017
7429,Dejounte Murray,SAS,6-5,2017
7430,Delon Wright,TOR,6-5,2017
7431,Demetrius Jackson,BOS,6-1,2017
7432,Dennis Schröder,ATL,6-1,2017
7433,Denzel Valentine,CHI,6-6,2017
7434,Deron Williams,CLE,6-3,2017
7435,Derrick Favors,UTA,6-10,2017
7436,Derrick Jones Jr.,PHX,6-7,2017
7437,Derrick Rose,NYK,6-3,2017
7438,Derrick Williams,CLE,6-8,2017
7439,Devin Booker,PHX,6-6,2017
7440,Devin Harris,DAL,6-3,2017
7441,Dewayne Dedmon,SAS,7-0,2017
7442,Deyonta Davis,MEM,6-10,2017
7443,Diamond Stone,LAC,6-11,2017
7444,Dion Waiters,MIA,6-4,2017
7445,Dirk Nowitzki,DAL,7-0,2017
7446,Domantas Sabonis,OKC,6-11,2017
7447,Donatas Motiejunas,NOP,7-0,2017
7448,Dorian Finney-Smith,DAL,6-8,2017
7449,Doug McDermott,OKC,6-8,2017
7450,Dragan Bender,PHX,7-1,2017
7451,Draymond Green,GSW,6-7,2017
7452,Dwight Howard,ATL,6-11,2017
7453,Dwight Powell,DAL,6-11,2017
7454,Dwyane Wade,CHI,6-4,2017
7455,E'Twaun Moore,NOP,6-4,2017
7456,Ed Davis,POR,6-10,2017
7457,Edy Tavares,CLE,7-3,2017
7458,Elfrid Payton,ORL,6-4,2017
7459,Elijah Millsap,PHX,6-7,2017
7460,Emmanuel Mudiay,DEN,6-5,2017
7461,Enes Freedom,OKC,6-11,2017
7462,Eric Bledsoe,PHX,6-1,2017
7463,Eric Gordon,HOU,6-4,2017
7464,Ersan Ilyasova,ATL,6-10,2017
7465,Evan Fournier,ORL,6-7,2017
7466,Evan Turner,POR,6-7,2017
7467,Frank Kaminsky,CHA,7-0,2017
7468,Fred VanVleet,TOR,6-0,2017
7469,Garrett Temple,SAC,6-6,2017
7470,Gary Harris,DEN,6-4,2017
7471,Gary Neal,ATL,6-4,2017
7472,Gary Payton II,MIL,6-3,2017
7473,George Hill,UTA,6-3,2017
7474,Georges Niang,IND,6-8,2017
7475,Georgios Papagiannis,SAC,7-1,2017
7476,Gerald Green,BOS,6-7,2017
7477,Gerald Henderson,PHI,6-5,2017
7478,Giannis Antetokounmpo,MIL,6-11,2017
7479,Glenn Robinson III,IND,6-6,2017
7480,Goran Dragic,MIA,6-3,2017
7481,Gordon Hayward,UTA,6-8,2017
7482,Gorgui Dieng,MIN,6-11,2017
7483,Greg Monroe,MIL,6-11,2017
7484,Greivis Vasquez,BKN,6-6,2017
7485,Harrison Barnes,DAL,6-8,2017
7486,Hassan Whiteside,MIA,7-0,2017
7487,Henry Ellenson,DET,6-11,2017
7488,Hollis Thompson,NOP,6-8,2017
7489,Ian Clark,GSW,6-3,2017
7490,Ian Mahinmi,WAS,6-11,2017
7491,Iman Shumpert,CLE,6-5,2017
7492,Isaiah Canaan,CHI,6-0,2017
7493,Isaiah Taylor,HOU,6-3,2017
7494,Isaiah Thomas,BOS,5-9,2017
7495,Isaiah Whitehead,BKN,6-4,2017
7496,Ish Smith,DET,6-0,2017
7497,Ivica Zubac,LAL,7-1,2017
7498,J.J. Barea,DAL,6-0,2017
7499,JJ Redick,LAC,6-4,2017
7500,JR Smith,CLE,6-6,2017
7501,JaMychal Green,MEM,6-9,2017
7502,JaVale McGee,GSW,7-0,2017
7503,Jabari Parker,MIL,6-8,2017
7504,Jae Crowder,BOS,6-6,2017
7505,Jahlil Okafor,PHI,6-11,2017
7506,Jake Layman,POR,6-9,2017
7507,Jakob Poeltl,TOR,7-0,2017
7508,Jamal Crawford,LAC,6-5,2017
7509,Jamal Murray,DEN,6-4,2017
7510,Jameer Nelson,DEN,6-0,2017
7511,James Ennis III,MEM,6-7,2017
7512,James Harden,HOU,6-5,2017
7513,James Johnson,MIA,6-9,2017
7514,James Jones,CLE,6-8,2017
7515,James Michael McAdoo,GSW,6-9,2017
7516,James Young,BOS,6-6,2017
7517,Jared Dudley,PHX,6-7,2017
7518,Jared Sullinger,TOR,6-9,2017
7519,Jarell Eddie,PHX,6-7,2017
7520,Jarell Martin,MEM,6-10,2017
7521,Jarnell Stokes,DEN,6-9,2017
7522,Jarrett Jack,NOP,6-3,2017
7523,Jarrod Uthoff,DAL,6-9,2017
7524,Jason Smith,WAS,7-0,2017
7525,Jason Terry,MIL,6-2,2017
7526,Jaylen Brown,BOS,6-7,2017
7527,Jeff Green,ORL,6-9,2017
7528,Jeff Teague,IND,6-2,2017
7529,Jeff Withey,UTA,7-0,2017
7530,Jerami Grant,OKC,6-9,2017
7531,Jeremy Lamb,CHA,6-5,2017
7532,Jeremy Lin,BKN,6-3,2017
7533,Jerian Grant,CHI,6-4,2017
7534,Jerryd Bayless,PHI,6-3,2017
7535,Jimmy Butler,CHI,6-7,2017
7536,Joakim Noah,NYK,6-11,2017
7537,Jodie Meeks,ORL,6-4,2017
7538,Joe Harris,BKN,6-6,2017
7539,Joe Ingles,UTA,6-8,2017
7540,Joe Johnson,UTA,6-7,2017
7541,Joe Young,IND,6-2,2017
7542,Joel Anthony,SAS,6-9,2017
7543,Joel Bolomboy,UTA,6-9,2017
7544,Joel Embiid,PHI,7-0,2017
7545,Joffrey Lauvergne,CHI,6-11,2017
7546,John Henson,MIL,6-11,2017
7547,John Jenkins,PHX,6-4,2017
7548,John Lucas III,MIN,5-11,2017
7549,John Wall,WAS,6-4,2017
7550,Johnny O'Bryant III,CHA,6-9,2017
7551,Jon Leuer,DET,6-10,2017
7552,Jonas Jerebko,BOS,6-10,2017
7553,Jonas Valančiūnas,TOR,7-0,2017
7554,Jonathan Gibson,DAL,6-2,2017
7555,Jonathon Simmons,SAS,6-6,2017
7556,Jordan Clarkson,LAL,6-5,2017
7557,Jordan Crawford,NOP,6-5,2017
7558,Jordan Farmar,SAC,6-2,2017
7559,Jordan Hill,MIN,6-10,2017
7560,Jordan McRae,CLE,6-5,2017
7561,Jordan Mickey,BOS,6-8,2017
7562,Jose Calderon,ATL,6-3,2017
7563,Josh Huestis,OKC,6-7,2017
7564,Josh McRoberts,MIA,6-10,2017
7565,Josh Richardson,MIA,6-6,2017
7566,Jrue Holiday,NOP,6-4,2017
7567,Juancho Hernangomez,DEN,6-9,2017
7568,Julius Randle,LAL,6-9,2017
7569,Justin Anderson,PHI,6-6,2017
7570,Justin Hamilton,BKN,7-0,2017
7571,Justin Harper,PHI,6-10,2017
7572,Justin Holiday,NYK,6-6,2017
7573,Justise Winslow,MIA,6-7,2017
7574,Jusuf Nurkić,POR,7-0,2017
7575,KJ McDaniels,BKN,6-6,2017
7576,Karl-Anthony Towns,MIN,7-0,2017
7577,Kawhi Leonard,SAS,6-7,2017
7578,Kay Felder,CLE,5-9,2017
